# Theme tags for poems.culturing.net.
# url-path <tab> comma-separated tags, most salient theme first.
# Slugs derive from titles, so editing a published title changes its url and
# orphans its tags -- the build fails loudly on any key that matches no poem.
# See Tagging/README.md for the vocabulary definitions and the workflow.
#
# vocabulary (31): love, longing, desire, women, anima, solitude, grief, healing, mortality, time, memory, hope, doubt, faith, myth, philosophy, history, america, war, freedom, power, strength, identity, family, home, nature, dreams, poetry, beauty, knowledge, modernity
#
/2010/08/the-man-who-knows/	knowledge, poetry, freedom
/2010/10/as-i-wander/	identity, nature, poetry, solitude
/2014/01/modern-times/	modernity, desire, knowledge
/2014/02/progress/	modernity, nature, history
/2014/03/birth/	mortality, time
/2014/04/perspicuity-for-example/	poetry, philosophy
/2014/07/song-of-sophia/	anima, myth, modernity, knowledge
/2015/02/somnambulance/	war, memory, history, hope
/2015/04/songs-of-youth/	memory, time, beauty
/2015/05/out-of-doors/	freedom, identity, home
/2015/05/romance-revisited/	love, memory, time, mortality
/2015/07/i-have-wandered-streets/	solitude, faith
/2015/07/inner-harbor/	identity, solitude, time
/2015/07/there-are-no-words/	doubt, freedom, solitude
/2015/07/there-is-too-much-noise/	solitude, faith, identity
/2015/08/my-people/	america, history, faith
/2015/10/fragments-shored-against-ruin/	identity, freedom, philosophy, hope
/2015/11/egotism-spreads/	identity, grief
/2015/12/if-there-are-still-men/	identity, faith, hope
/2015/12/megalopolis/	modernity, grief
/2016/01/scents-of-the-divine/	faith, nature, beauty
/2016/01/the-choir/	myth, hope, poetry, modernity
/2016/01/the-great-mortality-famine-death-rebirth/	mortality, hope, history
/2016/03/the-absurd/	doubt, philosophy, solitude
/2016/04/parting/	grief, time, love
/2016/05/song/	poetry, faith, knowledge, identity
/2016/08/for-an-old-lover/	anima, love, beauty, dreams
/2016/08/the-bigness-of-the-sky/	nature, faith, love
/2016/08/the-end-of-suffering/	mortality, modernity, grief
/2016/08/valediction-to-images/	anima, beauty, poetry
/2016/09/another-ending/	mortality, time, poetry
/2016/09/child-you-are-the-water/	nature, faith, knowledge
/2016/09/if-god-speaks-he-whispers/	faith, hope, solitude
/2016/09/notes-for-mr-pound/	poetry, philosophy, freedom
/2016/09/only-begin/	love, time, poetry
